companyName,companyAddress,companyIndustry,companyCountry,companyContacts,companyTel,companyPhone,companyFax,companyMail,userName
"HEIDY TOYS LTDA.","CRA.10 NO.10-53 OF 205 ED.LATINO",办公文教,哥伦比亚,"JUGUETERIA PELUCHERIA",,"0057 2832589/2832937","0057 3363346/3429747",HEIDYTOYS@TUTOPIA.COM,HEIDYTOYS
"CADENA S.A.","CARRERA 50 NO.97A SUR-150,KM.16 VIA CALDAS,LA ESTRELLA,ANTIOQUIA",办公文教,哥伦比亚,"LUIS JAVIER DEL CORRAL",,"0057 4 2796666","0057 4 2792341",cadena@supernet.com.co,cadena
"LATIN AMERICAN INTERNATIONAL TRADING CO.","CALLE 12 NO,1-12 OF 405,CALI",办公文教,哥伦比亚,"ALEJANDRO ROA",,"0057 2 8961009","0057 2 8836890",ALEJOROA@YAHOO.COM,ALEJOROA
"EVER SHINE COMERCIAL & INVERSIONAL EMPRESA","CRA 16 NO.60-62 SANTFA DE BOGOTA",办公文教,哥伦比亚,"ERIC HSU",,"0057 1 2496719","0057 1 6109498",WHSIEH@MAIL.NCKU.EDU.TW,WHSIEH
"CALZADO QUIN LOP.S.A.","CARRERA 51 NO.14-259,MEDELLIN,ANDIOQUIA",办公文教,哥伦比亚,"DARIO SUAREZ ANGEL",,"0057 4 3510744","0057 4 3510755",uniroca@md.impsat.net.co,uniroca
"CACHARRERIA EL RAYO PAPELERIA","CARRERA 13 NO.11-60 BOGOTA,D.C.",办公文教,哥伦比亚,"JOSE OCTAVIO BOTERO G.",,"0057 2845756/2431780","0057 3425781",OBOTERO_ELRAYO@HOTMAIL.COM,OBOTERO_ELRAYO
LEUTER,"APARTADO 872-1250 SAN JOSE",办公文教,哥斯达黎加,"FERNANDO CABADA CORVISIER",,"00506 2883773/3843912","00506 2883765",FERNANDO.CABADA@LEUTER.COM,FERNANDO.CABADA
"MERCANTIL DE ALIMENTOS S.A.","P.O.BOX 1193-1007 CENTRO COLON 1007 SAN JOSE",办公文教,哥斯达黎加,"MR JOACHIM RICHLY",,"00506 2256925","00506 2536379",jrichly@racsa.co.cr,jrichly
"INDUSTRIAS ELEGANTES S.A","25M SUR 150M NORTE DE CALE VOLIO,CURRIDABAT,SAN JOSE",办公文教,哥斯达黎加,"ANA MARIA VONG T.",,"00506 272 1282","00506 272 0647",INDELSA@SOL.RACSA.CO.CR,INDELSA
"SAUTER INFOMAX S.A.","APARTADO 249-1000,SAN JOSE",办公文教,哥斯达黎加,"KONRAD SAUTER",,"00506 2342228","00506 2346555",KSAUTER@SAUTER.CO.CR,KSAUTER
"PROLAMINAS DE OCCIDENTE S.A.","SAN JOSE",办公文教,哥斯达黎加,"ROY J.FERRERO AYMERICH",,"00506 2320644/2320073/3846108","00506 2906254",ROY.FERRERO@COSTARRICENSE.CR,ROY.FERRERO
"SERCOMEX S. A.(SERVICIO COMERCIAL EXTERIOR, S. A.)","Calle 6 No. 710 esg. a 9ra, Miramar, Ciudad de La Habana",办公文教,古巴,"Ms. Maria Cristina Mirabal Reyes",,"0053 7 242184","0053 7 242939",ser@infocex.cu,ser
"INTERMEDIARIOS QUIMICOS,S.A.","5A. AVE. 8-24 ZONA 12,GUATEMALA,CA (8424 N.W. 56 ST. MIAMI FLORIDA 33166)",办公文教,国外,"ING. FREDY ENRIQUE QUAN REYES",,"001 502 4717242","001 502 4717243",PAPAPITO@INTELNET.NET.GT,PAPAPITO
AFUNET,"14 AV.MARASS,GOMBE KINSHASA",办公文教,国外,DALAL,,"00243 9901250",243,AFUNET@IC.CD,AFUNET
EUROSALON,"BELGRADE TERAZIJE 41/III",办公文教,国外,"VIKTOR CALOVSKI",,"00381 11 3230370/3246790/3241522/3234129/3247244","00381 11 3243164",CALOVSKI@EUROSALON.CO.YU,CALOVSKI
"ADI & EKI","MIHAJLA PUPINA BB 36300 NOVI PAZAR",办公文教,国外,"ADIS DELIMEDAC",,"00381 20 311776/331420","00381 20 311776/331420",ADIS@PTT.YU,ADIS
"AL BATRA BOOKSHOP","P.O.BOX 21235,SHARJAH",办公文教,国外,"ALAUR RAHMAN",,"00971 6 5353499/505769375","00971 6 5352795",ALBATRA@EMIRATES.NET.AE,ALBATRA
"TINA TIME","85000 BAR,UL.OBALA 13,JULA 4/3",办公文教,国外,"SALJPERIC SLAVOLJUB",,"00381 85 316290/69030568","00381 85 316290",TINAS@CG.YU,TINAS
洛杉矶东方工艺品贸易有限公司,"113N.5TH ST.,#B ALHAMBRA.",办公文教,国外,"WANG BIN",,"001 626 2379968","001 626 5761606",WHB1969@YAHOO.COM,WHB1969
"EURO PRINTY","RR.LUAN HARADINAJ,K.RAMIZ SADIKU P.N. PRISHTINE,KOSOVA",办公文教,国外,"HAJRIZ ZABELI",,"00381 38 229699/44120194","00381 38 222598",EUROPRINTY@HOTMAIL.COM,EUROPRINTY
"PILLERS BUSINESS NETWORK","7600 GEORGIA. AV. SUITE LL.",办公文教,国外,"JONAH. D. UKAIBE",,"001 202 2918622/240 4472448","001 202 2918623",UJONAH@AOL.COM,UJONAH
"WELLCORP ENTERPRISE INC.","12F,22-1,97 ALLEY,110 LANE,HUCHIENG ST.SHIJR,TAIPEI",办公文教,国外,"CHANG CHI HUNG",,"00886 2 26908541","00886 2 26908542",CHANG1956@YAHOO.COM,CHANG1956
"DOO.LAV COMMERCE","NIKOLE PASICA BR 2,BANJA LUKA,TRN",办公文教,国外,"RADENKO RADULOVIC",,"00387 51 786357/65621088","00387 51 786357",LAV-COMMERCE@BLIC.NET,LAV-COMMERCE
"C & L GLOBAL TRADING CO.,LTD.","200 SILVER STAR BLVD.,UNIT 366 SCARBOROUGH,ONTARIO",办公文教,国外,"HON LAU",,"001 416 2924349/8882008095","001 416 2923437",CLGLOBAL@SPRINT.CA,CLGLOBAL
"Modus firm","#53 Mynbaeva Str., Almaty",办公文教,哈萨克斯坦,"Ms. Esafieva A.A.",,"007 3272 447704","007 3272 538738/7787387",modus@nursat.kz,modus
"AIGERIM LTD.","90,SATPAEV STR.,ALMATY",办公文教,哈萨克斯坦,"Ms. SVETLANA ROMANENKO",,"007 3272 509272/465758/464318","007 3272 464326",AIWIW@NURSAT.KZ,AIWIW
"Risk-Business Ltd.","#31 Potanina Str., Kokshetau",办公文教,哈萨克斯坦,"Mr. Kavylin V.V.",,"007 3162 257135","007 3162 257477",RISK@ASDC.RU,RISK
"WG COMPANY","ALMATY,GOGOL STR 86",办公文教,哈萨克斯坦,,,"007 3272 502006/3007225631/3003406244","007 3272 502005",EMOVERE@YANDEX.KZ,EMOVERE
"DONG MYUNG TRADING","RM303.DAE DO B/D,642-11,ILWON1-DONG, KANGNAM-KU,SEOUL",办公文教,韩国,"KIM,CHANG-YOUNG",,"0082 (02)2226-5155","0082 (02)2226-4247",DM5155@HANMAIL.NET,DM5155
"KOGDO TRADING CO.","30-6, 4-GA, CHUNGANG-DONG, CHUNG-GU, PUSAN",办公文教,韩国,"OH, YUN-KU",,"0082 (051)464-5830","0082 (051)464-5828",KOGDOTRADING@HANMAIL.NET,KOGDOTRADING
"DAE LIM PAPER CO., LTD.","7, NUUP-DONG, OSAN-SHI, KYONGGI",办公文教,韩国,"KWON, OH-DAL",,"0082 (031)373-7670/5","0082 (031)373-0662",DAELIM7@YAHOO.KR,DAELIM7
"BONG BO PNP","183, SONGJOOK-DONG, CHANGAN-KU, SUWON-SHI, KYONGKI",办公文教,韩国,"YOO, HYUN, SEOK",,"0082 (031)254-6350","0082 (031)254-6351",BBOPP@KG21.NET,BBOPP
"SAM WHA UNIQUE LTD.","YUIL B/D, 956-1, TAECHI-DONG, KANGNAM-GU, SEOUL",办公文教,韩国,"CHOI, YOUNG-HWAN",,"0082 (02)538-0277","0082 (02)565-4698",YOUNGUNIQUE@HANMAIL.NET,YOUNGUNIQUE
"SAMWON PAPER CO.,LTD","226-3,YONGDEP-DONG,SUNGDONG-GU,SEOUL",办公文教,韩国,"Mr. YANG B. I.",,"0082 2 22178700","0082 2 22178999","SAMWON@SAMWONPAPER,COM",SAMWON
"SEVEN FIVE TREE","395-11,CHANGSHIN-DONG CHONGNO-GU, SEOUL CITY",办公文教,韩国,"LEE,JAE-YOUNG",,"0082 (02)2235-1535","0082 (02)2235-1540",ONGA@NETLAN.COM,ONGA
"JUANS CORPORATION","1524-4, SHILLIM 9-DONG, KWANAK-GU, SEOUL",办公文教,韩国,"PARK, JU-HWAN",,"0082 (02)886-9300","0082 (02)838-0598",JUANS@JUANS.CO.KR,JUANS
"T & B TRADING CO.","3F1,T&amp;B BLDG.,243-2 DAPSIPRI-1-DONG,DONGDAEMUN-GU,SEOUL",办公文教,韩国,"Mr. TIGER XU",,"0082 2 22166924/5","0082 2 22166926",tigerxu@hanmail.net,tigerxu
"NEW KOREA TRADING CORP.","SAEHAN B/D, 159-8, KARAK-DONG, SONGPA-KU,SEOUL",办公文教,韩国,"KIM, IN-BUM",,"0082 (02)3402-2411/8","0082 (02)3402-2419",NKT@NKT.CO.KR,NKT
"JINBANG INTERNATIONAL",光州光役市东区金南路152南仙会馆,办公文教,韩国,"KIM CHANG IL",,"0082 62 2251982/176440333","0082 62 2251981",DREAVIS100@HANMAIL.NET,DREAVIS100
"KOREA MERCHANDISING","JONGGU INCHEN DUNG,SEOUL",办公文教,韩国,MR.LEE,,"0082 2 22782789/164002789","0082 2 22646207",LEEKJ3232@NAVER.COM,LEEKJ3232
Multicolor,"Londenstraat 16, NL 7418 EE, Deventer",办公文教,荷兰,"H. Bouwma",,"0031 570 635959","0031 570 637024",sales@Multicolor.nl,sales
"Beforms Computerformulieren","Vliet 39, NL 4841 SB, Prinsenbeek",办公文教,荷兰,,,"0031 76 5412725","0031 76 5423163",beforms@tref.nl,beforms
"Denda Multimedia BV","Willem Vleertmanstraat 25, 7575 EC Oldenzaal, Postbus 429, 7570 AK Oldenzaal",办公文教,荷兰,,,"0031 541 570 270","0031 541 570 277",info@denda.com,info
"Ricoh Nederland BV","Basicweg 24, 3821 BR, Amersfoort Postbus 868 3800 AW Amersfoort",办公文教,荷兰,,,"0031 33 4507811","0031 33 4507860",webmaster@ricoh.nl,webmaster
"Schmit Schoenhandel B.V.","De Breestraat 22, Postbus 51, NL-1940 AB Beverwijk, Netherlands",办公文教,荷兰,"Dhr. P. Schmit",,"0031 251 223973","0031 251 212965",info@schmitschoenen.nl,info
"Massa Schoen en Mode","Schijfweg Zuid 4, NL-5995 BG Kessel, Netherlands",办公文教,荷兰,"Dhr. P. Staaks",,"0031 77 4621477","0031 77 4622245",inbfo@massa-schoen-edn-mode.nl,inbfo
"Cinderella Schoenen BV","Spekkenbergweg 8, NL-1105 AJ Amsterdam, Netherlands",办公文教,荷兰,"Dhr. R. Bons",,"0031 20 4524242","0031 20 6978956",cinder@xs4all.nl,cinder
"Kopieerbedrijf Kopiviet BV","Houtkopersstraat 4, NL 3334 KD, Zwijndrecht",办公文教,荷兰,,,"0031 78 6100521","0031 78 6104618",kopiviet@xs4all.nl,kopiviet
"Top Tape","Litauensestraat 1, NL 7202 CN, Zutphen",办公文教,荷兰,,,"0031 575 585100","0031 575 585105",sales@minerstin.europ.com,sales
"WE Europe BV","WE-Woman, Reaktorweg 101, Postbus 30200, NL-3503 AD Utrecht, Netherlands",办公文教,荷兰,"Dhr. R. De Waal",,"0031 30 2479212","0031 30 2431487/2479336",info@we.nl,info
"Papierfabriek Schut BV","Kabeljauw 2, NL 6866 NE, Heelsum",办公文教,荷兰,"C.J.M. Eyssen",,"0031 317 319110","0031 317 312754",sales@papschut.nl,sales
"Stijger Halenbeek BV","Flevostraat 84, NL 1442 PZ, Purmerend",办公文教,荷兰,"H.P.J. Spitzen",,"0031 299 436061","0031 299 434251",INFO@STIJGERHALENBEEK.NL,INFO
"NRB INC","115 South Service Road West Grimsby,Ontario",办公文教,加拿大,"MR ROBERT MCNEIL",,"001 888 2275672","001 905 9452003",inquiries@nrb-inc.com,inquiries
"Mayers Fibre Tube & Core","1707 Dugald Rd, Winnipeg Manitoba",办公文教,加拿大,"WAYNE RIGUIDEL",,"001 204 661 8333","001 204 6639378",mayers@mb.sympatico.ca,mayers
"Label Supply","280 South Blair St，Whitby, ON",办公文教,加拿大,,,"001 905 665 7788","001 905 6657552",CUSTSERVICE@ON.AIBN.COM,CUSTSERVICE
"Canada TVA International Distribution","465 rue McGill, Bureau 900, Montréal,Québec",办公文教,加拿大,,,"001 514 284 2525","001 514 985 4460",llescarbeau@motioninternational.com,llescarbeau
"UNIVERSITY OF TORONTO PRESS INCORPORATED","5201 dufferin street, toronto, North York Ontario",办公文教,加拿大,WRRIGN,,"001 416 6677810","001 416 6677881",journals@utpress.utoronto.ca,journals
"BC Vegetable Greenhouse","10250 Hornby drive. Delta, BC",办公文教,加拿大,,,"001 604 592 0415","001 604 592 0416",mail@bcvglp.com,mail
"MEGA DISTRIBUTORS INC","Unit 220-12511 Vulcan Way, Richmond, BC",办公文教,加拿大,CLAYTON,,"001 604 2079339/8002941546","001 604 2079369",INFO@MEGADISTRIBUTORS.CA,INFO
"NORTH WEST MUSICAL SERVICES LT D","1991 Main Street, Vancouver,British Columbia",办公文教,加拿大,MR.CHAD,,"001 604 877 1991 /800 663 6797","001 604 877 1994",info@northwestmusic.ca,info
"Albany Packaging Inc","45 LePage Court Downsview, Ontario",办公文教,加拿大,"Stan Engelberg",,"001 416 636 3292","001 416 636 1213",albany@look.ca,albany
"Ottawa Fibre Inc","3985 Belgreen Drive Ottawa, Ontario",办公文教,加拿大,"Nicholas Holownia",,"001 613 7361215/2477116/8776347378","001 613 7361150/7367281",FIBREGLASS@OFIGROUP.COM,FIBREGLASS
"J.C.FIBERS INC.","3118,GRANDE-LIGNE CHAMBLY Carignan Quebec",办公文教,加拿大,"Joe Colubriale",,"001 450 359 4545","001 450 358 5952",info@jcfibers.com,info
"Kromar Printing Ltd","725 Portage Avenue, Winnipeg, Manitoba",办公文教,加拿大,"JOSEPH COHEN",,"001 204 775 8721","001 204 783 8985",kromar@kromar.com,kromar
"OFFICE ESSENTIALS LIMITED","4TH FLOOR COPLAN HOUSE,KOJO THOMPSON RD.ACCRA(P.O.BOX CT 1953,CANTONMENTS-ACCRA)",办公文教,加纳,"FRANCESCA BRENDA OPOKU",,"00233 21 225089/24250645","00233 21 7012056",OFFESSENTIALS@HOTMAIL.COM,OFFESSENTIALS
"TONY‘S PRIDE (GH) LTD.","PREMPEH II ST.,ADUM,P.O. BOX K.S. 5074,KUMASI MAIN",办公文教,加纳,"Mr. A. M. TWUM BARIMAH",,"00233 51 30374/5","00233 51 36050",TONY‘SPRIDEGH@YAHOO.COM,TONY‘SPRIDEGH
"RAFTCO LTD","P.O.Box 5387 Kumasi",办公文教,加纳,"Mr Rockson Atinimah",,"00233 51 23268","00233 51 23088/28685",raftco@its.com.gh,raftco
"CAMELOT GHANA LTD","P.O.Box M.191,Accra",办公文教,加纳,"John Colin Villars",,"00233 21 774852/773120","00233 21 773043",camelot@africaonline.com.gh,camelot
"PRIME INKTECH & SYSTEMS LTD","P.O.BOX 6120,ACCRA-NORTH,GHANA",办公文教,加纳,,,233277475281,23321320187,pits_ltd@yahoo.com,pits_ltd
"KINGDOM BOOKS AND STATIONERY LTD.","NEAR OSU CEMETARY TRAFFIC LIGHT P.O.BOX B187,C2,TEMA",办公文教,加纳,"ALFRED GYATENG",,"00233 21 762791/762792/24341970","00233 21 762790",KINGDOM@IGHMAIL.COM,KINGDOM
"OFFICE CENTER","PHNOM PENH",办公文教,柬埔寨,CHAKRIYA,,"00855 11933344",855,CHAKRIYA_KONGVENN@YAHOO.COM,CHAKRIYA_KONGVENN
"SING CHANG LONG CO.,LTD.","NO.76A,ST.230,SANGKAT PHSAR DAMKOR,KHAN TOUL KORK PHNOM PENH",办公文教,柬埔寨,"SY SEAK LY",,"00855 23 885818/993522/12916779","00855 23 885819",SCLSEWING@ONLINE.COM.KH,SCLSEWING
"GD MACHINERY","NO.158A,MAOZEDONG AVENUE,PHNOM PENH",办公文教,柬埔寨,"LI ZECHENG",,"00855 23 993183/213618/12812183","00855 23 213618",GDMACHINERY@ONLINE.COM.KH,GDMACHINERY
"MADE SPOL.S.R.O.","LANGROVA 43 627 00 BRNO-SLATINA",办公文教,捷克,"VLADIMIR DENK",,"00420 5 45218105/737278845","00420 5 45218650",MADE@IOL.CZ,MADE
"DANTER-REKLAMA A POTISK S.R.O.","NADRAZNI 106, 70200 OSTRAVA",办公文教,捷克,"V. KOZELSKY",,"00420 59 6133362/6133828","00420 59 6133647",danter@pvtnet.cz,danter
"EUROPAPIER-BOHEMIA, SPOL. S.R.O.","K PEROVRE 1384/13, 10200 PRAHA 10",办公文教,捷克,"K KIRCHNERVA",,"00420 2 74009111","00420 2 74009109",office@europapier.cz,office
"PENTA SHOE,S.R.O.","VESELI NAD MORAVOU,ZARAZICKA 311",办公文教,捷克,"JOSEF MICKA",,"00420 518 323994","00420 518 323997",obchod@pentashoe.cz/PERCONAL@PENTASHOE.CZ/ODBUG@PE,obchod
"DUSAB LTD.","SOKOLSKA 60,BOSKOVICE",办公文教,捷克,"STANISLAV POSPISIL",,"00420 516 499812","00420 516 454325","SPOSPISIL@DUSAB.CZ,SPOSPISIL@TELECOM.CZ",SPOSPISIL
"EUROPAP, SPOL.S.R.O.","V SIPCE 6, 30137 PLZEN",办公文教,捷克,"KAREL FIALA",,"00420 377 226236","00420 377 227558",europap@europap.cz,europap
"ORLICKE PAPIRNY JSC","OPLETALOVA 92,OSTROVSKE PREDMESTI,LANSKROUN",办公文教,捷克,"MS.HANA HUBENA",,"00420 465 386111","00420 465 386100",orpa@orpa.cz,orpa
"UPM-KYMMENE S.R.O.","VACLAVSKE NAMESTI 56, 11000 PRAHA 1",办公文教,捷克,"J. VOJTOVA",,"00420 2 22111911","00420 2 24247252",jana.vojtova@upm-kymmene.com,jana.vojtova
"APPEL CZ, S.R.O.","VELKOMORAVSKA 77, 69533 HODONIN",办公文教,捷克,"JARA VALKOVICOVA",,"00420 518 321839","00420 518 344313",appel@appel.cz,appel
"NOELL,A. S.","BELNICKA UL. JESENICE U PRAHY",办公文教,捷克,"MGR. PAVLA DRBALOVA",,"00420 296 114274/114211","00420 296 114212",PAVLA.DRBALOVA@NOELL.CZ,PAVLA.DRBALOVA
"LIQING TRADING CO.,(PVT) LTD.","P.O.BOX GT 2044,GRANITESIDE,HARARE",办公文教,津巴布韦,"YANG BIAO",,"00263 91 240120",263,YBZIMBABWE@SOHU.COM,YBZIMBABWE
"TJODADIE & DAQUINO","B.P.171 ESEKA",办公文教,喀麦隆,"TJOMB DANIEL",,"00237 7788106","00237 7788106",TJODADIE@YAHOO.FR,TJODADIE
"KARAM EXPORTS","ETS.PAM,05 B.P. 261 ABIDJAN-05",办公文教,科特迪瓦,"ASHOK R. KARNANI",,"00225 07071003","00225 21244962",KARAM@AVISO.CI,KARAM
"ETS GHASSANI","01 PO BOX 6121,ABIDJAN 01,IVORY COAST ABIDJAN",办公文教,科特迪瓦,"Mr. GHASSANI",,"00225 20 220482",225,GHASSANI@AFRICAONLINE.CO.CI,GHASSANI
"SAS AL-ARAB EST.IMPORT & EXPORT COMMISSION AGENT","HAWALLI TUNIS ST.P.O.BOX:1753 HAWALLI CODE NO.32081",办公文教,科威特,"SASA WU",,"00965 2640055","00965 2640077",CBPHONE@QUALITYNET.NET,CBPHONE
"DAR ALTHAQAFEH ALARABIA","NINTH COMMERCIAL AREA-ALHAJIRI BUILDING(P.O.BOX 8742 SALMIEH)",办公文教,科威特,"ABDUL RAHMAN AL‘ZUABI",,"00965 2446303/2406788","00965 2443780",DTL@QUALITYNET.NET,DTL
"AL-RUPPIA GENERAL TRAD & CONT.OFF.","P.O.BOX 68030,KEIFAN",办公文教,科威特,"HUSSAIN AHMED",,"00965 2469437","00965 2469438",HUSSAIN@ALRUPPIA.COM,HUSSAIN
"AL-WESSAM SILVER GROUP","WHOLESALE SHOES MARKET-AL-ASFOOR BUILDING-SHOP NO.1(P.O BOX:35580 SHAAB 36056)",办公文教,科威特,"ABDUL GHANI A. ALI",,"00965 2451972/9787325","00965 2443243",ABUOD@YAHOO.COM,ABUOD
"AL-KARMA LIBRARY CO","P.O.BOX:44581 HAWALLI",办公文教,科威特,"MR.MOHAMAD MAAROUF",,"00965 2436228/5639953","00965 2436224",AL_KARMA@HOTMAIL.COM,AL_KARMA
"KUWAIT BOOKSHOPS CO. LTD.","P.O. BOX 2942,SAFAT 13030",办公文教,科威特,"BASHIR N. KHATIB",,"00965 242 4266","00965 242 0558",kbs@ncc.moc.kw,kbs
"AL-KHULAIFI INTERNATIONAL GENERAL TRAD.","P.O.BOX:21473 SAFAT",办公文教,科威特,"MAHMOOD AL-KHULAIFI",,"00965 2436844","00965 2438364",KHULFICOM@HOTMAIL.COM,KHULFICOM
"ALIA STATIONARY CO.","P.O.BOX 2981 SAFAT",办公文教,科威特,"HANI MARWAN AL HINDI",,"00965 2443024/2444208","00965 2407199",HANO_99@USA.NET,HANO_99
"FUN AL-JAZIRA CO.","AQARAT AL-KUWAIT - GATE 3 - SHOP NO.124-125(P.O.BOX 27548)",办公文教,科威特,"ABDUL KARIM A.WIZANI",,"00965 2403033/9640799","00965 2412811",FUNALJAZIRA@HOTMAIL.COM,FUNALJAZIRA
"STUBLIC IMPEX LTD.","RADNICKA CESTA 53,10000 ZAGREB",办公文教,克罗地亚,"MARIJAN BLAZEVIC",,"00385 1 6184323/6184324/916184322","0385 1 6184326/6040546",MARIJAN.BLAZEVIC@STUBLIC.HR,MARIJAN.BLAZEVIC
"JAMEKS-90 D.O.O. INTERNATIONAL","HR-ZAGREB,VLASKA 58",办公文教,克罗地亚,"DANIEL AGBABA",,"00385 1 4617494/4617495/4617496","00385 1 4556404",JAMEKS@ZG.TEL.HR,JAMEKS
"D.L.PATEL PRESS (KENYA) LIMITED","P O BOX 30097,NAIROBI GPO 00100",办公文教,肯尼亚,"AJAY A. PATEL",,"00254 2 544461/557310/558875/554938","00254 2 534765/536428",DALLAS@NBI.ISPKENYA.COM,DALLAS
"ELITE B.C LTD.","P.O.BOX 31398 00600 NGARA NAIROBI",办公文教,肯尼亚,"RASHMI KANABAR",,"00254 2 332733/228752","00254 2 230964",ELITE@WANANCHI.COM,ELITE
"FORTUNE STAR ENTERPRISES LIMITED","NO.26A LANGATA SHOPPING CENTER NAIROBI(P.O.BOX:2567-00200 NAIROBI)",办公文教,肯尼亚,"CHEN YUNQI",,"00254 2 606135/733944254","00254 2 710654/605157","FSTAR@163.COM,FSTAR@INSIGHTKENYA.COM",FSTAR
"PLUTOS HOLDINGS LIMITED","P.O.BOX 694,KENYATTA AVENUE,NAKURU",办公文教,肯尼亚,"SANJAY SHAH",,"00254 37 213413/214953","00254 37 214951",TURACO@NET2000KE.COM,TURACO
"HEALTHCARE DIRECT (K) LTD.","UNIT 80, ALPHA CENTRE, MOMBASA ROAD (P.O.BOX 46414, NAIROBI)",办公文教,肯尼亚,"NILESH DAVE",,"00254 2 821100/821101","00254 2 824917",NILESH@HCDKE.COM,NILESH
SIAGAITA,"LERIKU STR.2A RIGA,LV-1084",办公文教,拉脱维亚,"EDGAR ZADEIKIS",,"00371 7516892/7515950/9240628","00371 7513866",OFFICE@GAITA.LV,OFFICE
INTEZO,"E.BIRZNIEKA-UPISA 18-9 RIGA,LV 1050",办公文教,拉脱维亚,"ANDREW SHISHKIN",,"00371 7505060/9510176","00371 7505065",ANDREW@INTEZO.LV,ANDREW
"SEKUNDE BT","250 MASKAVAS STR., RIGA",办公文教,拉脱维亚,"Ms. JATJANA KULIKOVA",,"00371 7189539","00371 7189539",sekundebt@apollo.lv,sekundebt
"UNION STATIONERY STORES","YOUSSEF BLDG.,FACING SUMMERLAND (P.O.BOX:114-5091 BEIRUT)",办公文教,黎巴嫩,"GHASSAN A.YOUSSEF",,"00961 1 855100/855101/3222022","00961 1 855103",UNIONST@CYBERIA.NET.LB,UNIONST
"HADCO ADHESIVES SARL","ACHRAFIEH-CORNICHE EL NAHER,BLUE BLDG(P.O.BOX:11-4331-BEIRUT)",办公文教,黎巴嫩,"SERGIO LA TORRE",,"00961 1 443246/3724101","00961 1 443891",HADCO@LYNX.NET.LB,HADCO
GENTY,"SHOE MARKET,AIRPORT ROAD,BEIRUT",办公文教,黎巴嫩,"ALI HUSSEINI",,"00961 1 450423/3219324",961,ALIHUSEINI@HOTMAIL.COM,ALIHUSEINI
"SAFIEDDINE CO.FOR GENERAL TRADING","P.O.BOX: 41 SAIDA BAWABET TAHTA",办公文教,黎巴嫩,"NASSER SAFIEDDINE",,"00961 3 289940","00961 7 724718",SATCO_NASSER@YAHOO.FR,SATCO_NASSER
"PAO & PIO","EL DELB BIKFAYA",办公文教,黎巴嫩,"GEORGES R. IBRAHIM",,"00961 4 985111/3833351","00961 4 985111",PAONPIO@CYBERIA.NET.LB,PAONPIO
"ALWAN PAPYRUS LTD.","P.O.BOX 113-5655, BEIRUT",办公文教,黎巴嫩,"Mr. KAMAL ALWAN",,"00961 5 466875/466873","00961 5 466875",hadialw@inco.com.lb/kamalalw@hotmail.com,hadialw
"E.T GROUP","6TH FLOOR BARBOUR,ALWAFAA BLDG.,MAZRAA,BEIRUT(P.O.BOX:14-6181,MAZRAA)",办公文教,黎巴嫩,"EYAD SAMMAN",,"00961 1 706347","00961 1 302166",ETGROUP@TERRA.NET.LB,ETGROUP
"BILLBOARD MUSIC-SHOP","CENTRE VERSAILLES,JOUNIEH(P.O.BOX 2181 JOUNIEH)",办公文教,黎巴嫩,"PIERRE JEITANI",,"00961 9 635535/3845000","00961 9 640040",BILL@INCO.COM.LB,BILL
"JTM TRADING&MARKETING",,办公文教,黎巴嫩,"GHANDI JABER",,9615555959,,j_tm@live.com,j_tm
MASSLINE,"MINISTRY OF INDUSTRY BLDG,SAMI-EL-SOLH,BEIRUT,P.O.BOX:116-5400,BEIRUT,1106-2040",办公文教,黎巴嫩,"JEAN PAUL E.MASSOUD",,"00961 3 694694","00961 1 616677/616716",FANET@MASSLINE.COM,FANET
"AL-OULA CO.INDUST.& GEN. TRADING","BOURJ BARAJNEH,RAMEL AL-AALI,SHOES MARKET BEIRUT",办公文教,黎巴嫩,MOHAMMED.A.FAKHA,,"00961 1 756601/3 756601","00961 1 450120",ALOULA9@HOTMAIL.COM,ALOULA9
"IBRAHIM HAZIMEH","BASTA TAHTA,ZAHRAWI STR.(P.O.BOX:24/168,BEIRUT)",办公文教,黎巴嫩,"IBRAHIM HAZIMEH",,"00961 1 659325/3208966","00961 1 659325/470406",MAYTRDG@CYBERIA.NET.LB,MAYTRDG
"TANASHI COMPANY","P.O.BOX:2274 MISURATA",办公文教,利比亚,"SALEEM TANASHI",,"00218 51 629580","00218 51 629580",ELTANASHI@YAHOO.COM,ELTANASHI
ALKASR,"ALNASR ST.EX.TRAFFIC BUILDING TRIPOLI (PO.BOX:1142 TRIPOLI)",办公文教,利比亚,M.ABUZIED,,"00218 21 4444188","00218 21 4444188",OMERZID@YAHOO.COM,OMERZID
MALLOOG.CO.,TRIPOLI,办公文教,利比亚,"ABOBAKER MALLOOG",,"00218 21 4893233/912123349","00218 21 4893419",ABMALLOOG@HOTMAIL.COM,ABMALLOOG
"JARA, UAB","VILNIAUS G.3, LT-4930 ANYKSCIAI",办公文教,立陶宛,,,"00370 381 52472/51594","00370 381 52889",jara@is.lt,jara
GMX,"L.GIROS 2-4 LT-2035 VILNIUS",办公文教,立陶宛,"AGNE JAUNISKYTE",,"00370 686 75753",370,JAUNISKYTE@GMX.NET,JAUNISKYTE
"Muller & Wegener Sarl","69, rue de Bouillon B.P.2232 L-1248 Luxembourg",办公文教,卢森堡,,,"00352 484949 999","00352 48 49 49 200",mw@mullerwegener.lu,mw
